axolotl Zeruko
cat Pabo
fox Vaku
chick Ruko
blob Kilu
octopus Zerudo
frog Bopo
penguin Nilo
crab Kema
dog Bodi
bunny Lupi
bear Bumo
mouse Piku
raccoon Randu
panda Ponu
koala Kolu
pig Pimo
hamster Habu
deer Feno
goat Gabu
sheep Wolu
lion Rawo
unicorn Luma
gecko Gizu
squirrel Sivi
hedgehog Hopi
monkey Miko
tiger Tazu
wolf Wanu
dragon Dako
otter Tavi
sloth Solu
owl Huwi
duck Dabo
parrot Pipa
bat Vopi
ghost Yumo
mushroom Mopli
pufferfish Pobu
squid Kalu
jellyfish Yelu
snail Selu
turtle Tuku
fish Pesu
whale Walu
snake Sizu
caterpillar Kapi
spider Nuki
beetle Kafu
ladybug Lami
